Pagecount,INTcount,EXTcount,URLfragments,timestamp
155,43,74,2,
156,239,67,2,
157,79,21,12,
158,218,14,2,
159,374,13,2,
160,25,90,7,
161,25,162,11,
162,58,76,2,2022-03-09T01:08:10Z
163,95,79,38,2021-05-28T19:23:58Z
164,71,94,4,2021-11-23T16:10:58Z
165,53,69,6,2014-07-13T09:19:07Z
166,66,89,2,2021-12-18T05:52:25Z
167,71,94,4,2021-11-23T16:10:58Z
168,106,166,9,2021-12-21T09:32:20Z
169,386,328,14,2022-03-29T09:44:09Z
170,395,324,85,2022-03-31T12:05:31Z
171,134,114,37,2022-03-14T15:30:33Z
172,362,330,57,2022-03-25T10:51:16Z
173,575,353,65,2022-03-02T08:05:34Z
174,54,138,6,2022-03-23T08:28:09Z
175,63,89,14,2019-09-03T18:38:08Z
176,47,55,2,2014-11-24T19:43:25Z
177,78,113,18,2022-01-06T07:19:44Z
178,45,61,2,2018-05-14T03:41:09Z
179,246,40,2,
180,368,261,8,2022-03-01T18:55:51Z
181,241,258,28,2022-02-23T19:54:25Z
182,583,212,83,2022-04-02T01:53:30Z
183,210,114,102,2022-03-05T08:15:50Z
184,87,152,12,2022-02-24T00:13:15Z
185,101,76,25,2022-02-25T15:37:32Z
186,58,68,4,2021-01-30T03:57:26Z
187,78,94,26,2022-04-02T00:20:31Z
188,263,139,2,2022-03-01T19:03:13Z
189,149,171,4,2021-04-14T15:52:18Z
190,177,128,41,2022-02-24T16:11:31Z
191,145,184,27,2021-11-02T07:03:59Z
192,61,130,2,2020-12-18T06:36:51Z
193,112,174,14,2021-10-14T05:52:08Z
194,74,149,8,2022-02-24T18:05:12Z
195,114,125,19,2022-01-23T17:18:38Z
196,67,115,13,2022-02-23T00:31:31Z
197,48,62,2,2021-01-18T08:01:31Z
198,139,126,56,2022-02-24T20:39:41Z
199,64,55,2,2020-09-19T11:37:37Z
200,41,62,2,2021-07-29T18:37:16Z
