Pagecount,INTcount,EXTcount,URLfragments,timestamp
153,73,60,17,2021-08-30T17:37:17Z
154,204,188,131,2021-10-08T19:33:43Z
155,63,112,12,2021-05-12T00:19:36Z
156,84,85,2,
157,105,137,2,
158,43,74,2,
159,239,65,2,
160,242,51,2,
161,190,45,2,
162,212,13,2,
163,289,14,2,
164,75,20,11,
165,25,89,7,
166,25,162,11,
167,52,75,2,2021-02-09T00:14:01Z
168,95,79,38,2021-05-28T19:23:58Z
169,71,94,4,2021-11-23T16:10:58Z
170,53,69,6,2014-07-13T09:19:07Z
171,65,88,2,2021-10-20T23:42:25Z
172,71,94,4,2021-11-23T16:10:58Z
173,106,164,9,2021-03-16T19:26:52Z
174,379,327,14,2021-11-05T02:31:36Z
175,396,319,85,2021-11-07T23:46:21Z
176,133,112,37,2021-11-23T14:13:04Z
177,358,327,57,2021-11-30T17:26:31Z
178,578,350,65,2021-11-09T02:21:24Z
179,54,137,6,2021-10-23T17:33:56Z
180,63,89,14,2019-09-03T18:38:08Z
181,47,55,2,2014-11-24T19:43:25Z
182,77,112,18,2021-06-01T19:12:52Z
183,45,61,2,2018-05-14T03:41:09Z
184,62,131,2,
185,188,13,2,
186,130,13,2,
187,44,17,2,
188,43,130,7,
189,25,68,6,
190,54,72,4,2020-12-31T18:36:49Z
191,78,75,2,2021-06-27T19:05:45Z
192,67,127,2,2020-11-23T20:25:45Z
193,184,44,133,2021-10-25T07:35:07Z
194,37,35,4,2021-07-06T10:14:26Z
195,41,71,2,2013-10-18T22:29:53Z
196,51,54,10,2021-05-29T03:09:27Z
197,79,83,4,2021-02-10T09:10:07Z
198,41,29,2,2020-04-01T11:52:29Z
199,56,69,2,2021-09-27T04:56:39Z
200,41,83,2,2020-04-01T11:50:42Z
